,train,test,all
4509,0.997272009085,0.997205799938,0.997375591773
4510,0.999310957437,0.999107775693,0.999136815732
4511,0.998581325228,0.998426712805,0.998445858253
4512,0.998217468806,0.998389901462,0.998240826361
4513,0.997964808141,0.997904807084,0.99801324096
4514,0.997282385252,0.997213550508,0.9973243338
4515,0.998091321052,0.997877077616,0.998099354355
4516,0.997507150434,0.996724305486,0.996815854706
4517,0.997150147604,0.997204671011,0.99703728915
4518,0.996839746172,0.996522839282,0.996190507433
4519,0.9969882749,0.996869730678,0.996592369943
4520,0.998335538569,0.997504218959,0.99762983132
4521,0.998142517977,0.997273913449,0.997728246629
4522,0.997097709069,0.996393814368,0.996936823523
4523,0.99762406953,0.997281679757,0.99751501346
4524,0.998457239831,0.998519404835,0.998472512399
4525,0.99875757563,0.99893069843,0.998782110557
4526,0.999365244843,0.999366554906,0.999278287738
4527,0.997268778701,0.997433240195,0.997322283481
4528,0.999302469774,0.999231038985,0.999210627213
4529,0.997959016057,0.997953557596,0.997978385538
4530,0.99844340761,0.997725285093,0.997890221824
4531,0.997880691403,0.997619990396,0.997658535785
4532,0.997470643485,0.99759754028,0.99753551665
4533,0.997969254863,0.997391408298,0.997297679654
4534,0.999055903067,0.99818016761,0.998367946134
4535,0.998842289567,0.997919774926,0.998152662647
4536,0.997348503505,0.997157983905,0.997211566259
4537,0.998000853845,0.998244419609,0.998054247338
4538,0.99827686197,0.998120689798,0.998173165836
4539,0.997889115555,0.997903662001,0.997947630754
4540,0.998213292737,0.998248401506,0.997939429478
4541,0.997796692145,0.997352241987,0.997715944715
4542,0.999748505372,0.999752185641,0.999186023386
4543,0.997302574815,0.996823449331,0.996860961723
4544,0.996940702505,0.996228903064,0.996391438688
4545,0.999504644968,0.998731648941,0.998898978736
4546,0.999897157255,0.999841973468,0.999343897943
4547,0.996826701464,0.996776004628,0.996705137484
4548,0.998777387725,0.998847906308,0.998759557049
4549,0.998467136207,0.997562622486,0.997685189931
4550,0.999361201109,0.999329948821,0.999358250176
4551,0.99779477912,0.997710920815,0.997295629335
4552,0.997119815668,0.997037490239,0.996432445067
4553,0.997277257393,0.996054729409,0.996375036137
4554,0.998051991114,0.998133046376,0.998068599571
4555,0.996778497036,0.996538103609,0.997104949675
4556,0.999260442191,0.99912258086,0.999210627213
4557,0.997724194446,0.997989473066,0.997826661937
4558,0.998324153964,0.99820688642,0.997521164417
4559,0.998054584292,0.997918534778,0.997900473419
4560,0.997615610661,0.99696533546,0.996748194182
4561,0.997731886881,0.998034920003,0.997925077246
4562,0.998610213453,0.998136348451,0.997857416721
4563,0.5,0.5,0.5
4564,0.997793764165,0.997942258249,0.997201314664
4565,0.997279498992,0.99678258544,0.996448847618
4566,0.997653249893,0.997705291971,0.997506812185
4567,0.996907551414,0.996914923739,0.996504206229
4568,0.997057588986,0.996451027705,0.99663747696
4569,0.99770244985,0.997365316391,0.997613428769
4570,0.997204568877,0.996589118396,0.997020886599
4571,0.999858485798,0.999841091983,0.999854427356
4572,0.998033639118,0.997597101735,0.997740548542
4573,0.997493038453,0.997120029729,0.996883515231
4574,0.998158251806,0.998048912332,0.998082951803
4575,0.999156545893,0.999145926359,0.99917782211
4576,0.998413924926,0.997386109037,0.997662636423
4577,0.997670983166,0.997070811959,0.997490409633
4578,0.998580751736,0.998521917726,0.998601682492
4579,0.998134672704,0.998131678649,0.998138310414
4580,0.996554331957,0.997218304341,0.996953226074
4581,0.99889135255,0.998846911224,0.998773909282
4582,0.999739707067,0.998933959407,0.999183973067
4583,0.998519568002,0.998520486077,0.998314637842
